CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
228,Female,51,59,69
229,Male,30,96,8
230,Male,55,23,2
231,Male,65,97,7
232,Female,28,91,99
233,Male,25,120,47
234,Female,46,59,58
235,Female,55,76,2
236,Female,50,17,3
237,Male,48,108,20
238,Male,25,114,45
239,Female,55,27,78
240,Male,65,39,43
241,Male,66,50,97
242,Female,58,67,30
243,Female,58,134,26
244,Male,62,120,78
245,Male,60,112,99
246,Female,46,34,57
247,Female,49,66,75
248,Female,24,18,65
249,Female,67,106,77
250,Female,62,114,41
251,Female,61,24,79
252,Female,64,35,74
253,Female,42,115,60
254,Male,31,25,44
255,Male,68,37,21
256,Male,24,63,94
257,Female,64,103,42
258,Male,41,105,2
259,Male,34,79,84
260,Male,43,26,54
261,Male,18,23,8
262,Female,41,88,68
263,Female,61,115,81
264,Male,54,27,35
265,Female,29,42,87
266,Female,31,98,73
267,Female,22,88,93
268,Male,46,102,3
269,Male,21,93,35
270,Female,26,102,29
271,Male,43,54,89
272,Male,39,136,81
273,Male,38,81,38
274,Male,20,44,53
275,Male,47,60,8
276,Female,51,60,72
277,Male,67,122,87
278,Male,66,82,60
279,Female,53,131,29
280,Female,34,78,8
281,Female,32,92,27
282,Female,48,106,77
283,Female,43,79,67
284,Male,67,99,3
285,Female,48,127,42
286,Female,52,110,19
287,Male,55,134,74
288,Male,57,64,41
289,Male,29,16,89
290,Male,27,110,35
291,Male,44,91,73
292,Male,60,131,68
293,Female,66,127,29
294,Female,48,47,13
295,Female,60,77,81
296,Male,35,124,97
297,Female,50,97,46
298,Male,47,118,39
299,Male,41,17,32
300,Female,30,115,45
301,Female,35,78,42
302,Male,56,123,67
303,Female,23,121,37
304,Male,32,81,40
305,Male,62,56,98
306,Female,23,84,77
307,Male,33,37,96
308,Male,57,72,82
309,Female,65,40,8
310,Female,37,44,90
311,Female,31,120,73
312,Female,34,15,75
313,Female,23,68,37
314,Male,45,73,11
315,Female,33,111,85
316,Male,39,23,81
317,Male,37,40,45
318,Female,69,123,78
319,Male,36,18,11
320,Male,65,67,42
321,Male,40,52,73
322,Female,53,104,38
323,Female,52,78,18
324,Female,52,88,75
325,Male,41,56,53
326,Male,62,136,13
327,Female,49,54,77
328,Male,66,25,65
329,Male,32,112,46
330,Female,32,41,50
331,Female,41,84,73
332,Male,23,45,91
333,Male,27,30,16
334,Male,52,124,40
335,Female,60,73,49
336,Female,22,88,33
337,Female,52,89,80
338,Female,24,75,20
339,Male,61,96,75
340,Female,59,40,11
341,Male,64,122,42
342,Male,31,26,61
343,Male,59,134,75
344,Female,20,46,10
345,Female,39,119,37
346,Male,20,95,31
347,Female,46,40,74
348,Female,31,73,67
349,Male,26,78,46
350,Male,18,75,81
351,Female,38,36,38
352,Male,21,128,23
353,Male,23,102,76
354,Female,61,37,91
355,Female,45,81,8
356,Female,25,104,61
357,Female,26,106,28
358,Female,35,67,53
359,Female,39,19,93
360,Female,35,126,29
361,Female,60,63,50
362,Male,36,55,33
363,Female,68,23,42
364,Male,44,18,88
365,Male,23,37,58
366,Female,61,66,79
367,Male,32,19,86
368,Female,65,80,10
369,Female,63,68,86
370,Female,22,43,9
371,Female,37,122,56
372,Female,35,39,21
373,Male,68,33,14
374,Female,54,36,17
375,Male,56,29,54
376,Male,22,84,93
377,Female,22,111,38
378,Female,44,106,11
379,Male,57,129,2
380,Male,50,96,87
381,Female,53,78,39
382,Male,33,91,87
383,Male,46,19,10
384,Female,35,65,85
385,Male,51,63,85
386,Male,62,83,79
387,Male,33,104,79
388,Female,65,127,97
389,Male,34,30,23
390,Female,31,129,84
391,Female,48,99,88
392,Male,39,115,67
393,Female,68,16,92
394,Female,28,108,45
395,Male,45,93,22
396,Male,22,81,91
397,Male,27,50,59
398,Female,20,97,66
399,Male,66,52,82
400,Female,38,133,58
401,Female,23,59,20
402,Male,31,37,5
403,Male,27,53,1
404,Female,31,76,54
405,Female,46,19,91
406,Female,53,100,43
407,Male,66,40,31
408,Female,37,137,51
409,Female,35,133,35
410,Female,19,39,70
411,Female,33,89,64
412,Female,19,90,66
413,Male,32,35,89
414,Male,24,59,28
415,Female,28,135,52
416,Male,56,58,60
417,Male,58,39,58
418,Male,46,49,35
419,Male,41,53,49
420,Female,64,102,43
421,Female,69,123,6
422,Male,30,97,78
423,Female,41,65,13
424,Female,43,23,29
425,Male,58,31,54
426,Female,37,87,71
427,Male,55,72,53
428,Male,18,36,20
429,Male,59,116,88
430,Female,31,102,16
431,Female,24,89,53
432,Male,58,72,95
433,Male,39,62,33
434,Male,45,87,18
435,Male,49,65,44
436,Male,70,57,35
437,Female,18,51,93
438,Female,47,88,23
439,Female,29,42,85
440,Female,27,40,28
441,Male,35,45,29
442,Female,66,90,93
443,Female,35,118,84
444,Female,57,52,62
445,Female,47,54,38
446,Female,46,101,20
447,Female,23,115,92
448,Female,52,112,6
449,Male,24,37,83
450,Male,36,84,45
451,Male,40,22,26
452,Male,24,32,90
453,Female,63,25,62
454,Male,58,43,74
455,Female,67,129,79
456,Male,53,36,54
457,Female,35,63,12
458,Male,36,123,92
459,Male,54,60,61
460,Male,56,127,36
461,Female,23,20,10
462,Male,37,23,22
463,Female,32,78,89
464,Male,53,136,45
465,Male,30,100,53
466,Male,25,41,60
467,Male,60,41,30
468,Female,49,47,65
469,Female,33,18,90
470,Female,27,88,4
471,Male,61,58,38
472,Female,61,42,28
473,Male,37,96,70
474,Male,33,49,7
475,Male,38,24,87
476,Male,31,65,51
477,Male,43,90,60
478,Male,45,116,12
479,Male,32,84,98
480,Male,68,47,22
481,Female,41,105,51
482,Male,29,65,55
483,Male,70,132,45
484,Female,62,25,84
485,Male,18,37,13
486,Female,67,96,18
487,Male,64,130,67
488,Female,23,100,79
489,Male,62,43,23
490,Male,19,45,17
491,Female,61,121,60
492,Male,57,134,10
493,Male,51,65,32
494,Female,40,109,35
495,Female,24,111,26
496,Male,66,120,13
497,Female,23,128,21
498,Male,32,107,16
499,Female,67,27,40
500,Female,28,30,44
501,Female,70,102,42
502,Male,31,30,94
503,Female,42,79,55
504,Female,44,111,92
505,Female,65,87,45
506,Male,26,51,83
507,Male,53,57,89
508,Female,41,107,32
509,Male,48,38,75
510,Female,18,49,49
511,Male,49,44,81
512,Female,22,94,62
513,Male,56,76,22
514,Female,67,120,87
515,Female,20,59,91
516,Female,39,112,84
517,Male,41,57,78
518,Female,68,123,83
519,Male,56,133,10
520,Male,29,126,18
521,Female,50,56,17
522,Female,67,133,11
523,Male,33,67,80
524,Male,61,36,27
525,Male,48,126,86
526,Female,59,104,38
527,Female,39,24,51
528,Male,62,86,68
529,Male,54,38,79
530,Male,32,55,32
531,Male,39,129,77
532,Male,42,31,30
533,Female,44,123,33
534,Female,63,78,40
535,Male,60,34,8
536,Male,39,128,38
537,Male,20,54,95
538,Male,50,133,77
539,Male,25,104,67
540,Male,29,80,12
541,Female,48,43,59
542,Male,27,35,8
543,Female,61,89,13
544,Female,33,17,9
545,Female,66,84,91
546,Female,33,78,77
547,Male,35,42,68
548,Male,44,93,78
549,Male,51,79,94
550,Female,18,112,74
551,Female,45,22,40
552,Female,64,98,65
553,Female,60,42,29
554,Female,36,131,58
555,Female,36,23,28
556,Female,26,19,20
557,Male,25,94,4
558,Male,62,101,98
559,Female,23,115,86
560,Female,56,137,19
561,Female,42,95,21
562,Male,49,136,88
563,Male,49,87,7
564,Male,40,15,24
565,Female,49,91,92
566,Male,20,42,30
567,Female,51,42,98
568,Male,54,52,1
569,Male,66,77,13
570,Male,38,118,71
571,Female,26,124,89
572,Female,52,106,13
573,Male,31,105,11
574,Female,62,53,4
575,Female,39,26,42
576,Female,50,88,72
577,Female,26,132,27
578,Female,25,103,94
579,Male,63,52,29
580,Female,20,79,43
581,Female,51,23,43
582,Female,63,50,38
583,Female,53,114,22
584,Male,63,81,50
585,Female,53,103,49
586,Female,47,70,66
587,Male,37,39,77
588,Female,65,78,36
589,Female,68,69,81
590,Female,56,46,41
591,Female,52,110,88
592,Female,30,71,9
593,Male,35,90,97
594,Female,61,129,24
595,Female,67,34,45
596,Male,31,30,85
597,Male,65,132,33
598,Male,50,127,31
599,Female,57,78,31
600,Female,55,78,67
601,Female,20,71,41
602,Male,67,105,82
603,Female,60,49,12
604,Male,58,72,39
605,Female,29,118,49
606,Female,19,67,2
607,Female,45,112,28
608,Male,55,15,54
609,Female,21,100,95
610,Female,65,79,50
611,Male,70,65,36
612,Male,67,62,96
613,Male,56,87,5
614,Female,65,116,95
615,Female,22,100,36
616,Male,61,108,8
617,Male,20,49,51
618,Male,32,21,57
619,Female,38,20,12
620,Male,38,135,8
621,Male,32,95,71
622,Female,38,19,95
623,Female,58,69,4
624,Male,54,23,90
625,Male,23,122,76
626,Female,43,51,95
627,Female,19,21,26
628,Male,62,38,49
629,Female,56,74,52
630,Male,34,69,28
631,Female,27,124,21
632,Male,56,62,59
633,Female,21,127,5
634,Female,29,22,31
635,Male,54,130,97
636,Female,64,109,74
637,Male,63,46,68
638,Male,54,93,23
639,Female,39,51,88
640,Male,66,31,19
641,Male,24,124,75
642,Female,53,57,91
643,Male,30,17,97
644,Female,23,133,74
645,Male,45,52,31
646,Male,22,86,93
647,Male,32,103,33
648,Female,58,59,18
649,Male,20,55,72
650,Female,25,88,8
651,Female,25,98,73
652,Female,48,35,83
653,Male,61,121,39
654,Male,37,96,14
655,Female,25,122,74
656,Female,39,39,40
657,Female,64,15,90
658,Male,46,55,60
659,Male,24,56,10
660,Female,28,123,31
661,Male,41,59,2
662,Female,22,44,35
663,Female,61,92,16
664,Female,61,20,32
665,Female,55,50,51
666,Female,26,18,47
667,Male,56,27,52
668,Male,28,133,83
669,Female,66,104,72
670,Male,18,41,68
671,Male,49,126,51
672,Female,40,122,72
673,Female,59,40,82
674,Male,54,100,25
675,Female,68,64,70
676,Female,59,125,85
677,Female,35,21,67
678,Female,60,78,97
679,Male,35,111,55
680,Male,28,66,65
681,Male,22,84,33
682,Female,63,116,57
683,Female,44,109,57
684,Male,39,101,93
685,Female,30,44,7
686,Male,42,125,85
687,Female,49,105,60
688,Male,63,72,26
689,Male,40,127,31
690,Female,57,45,8
691,Female,23,27,62
692,Male,40,58,65
693,Male,50,18,49
694,Female,52,45,62
695,Male,45,133,90
696,Female,37,52,29
697,Male,67,27,14
698,Female,64,23,80
699,Female,21,33,60
700,Male,18,123,89
701,Female,34,17,79
702,Female,50,69,36
703,Female,20,48,39
704,Female,66,97,29
705,Female,58,100,54
706,Male,70,90,55
707,Male,18,59,52
708,Female,28,33,32
709,Female,31,125,96
710,Female,40,93,18
711,Male,61,25,97
712,Male,47,34,94
713,Female,25,80,41
714,Male,67,71,94
715,Male,63,116,38
716,Female,51,53,36
717,Female,68,78,44
718,Male,36,104,2
719,Male,24,100,30
720,Female,43,125,33
721,Female,30,68,85
722,Female,18,104,91
723,Male,52,125,75
724,Female,25,53,4
725,Male,49,125,61
726,Female,55,109,76
727,Female,44,52,15
728,Female,22,45,13
729,Female,65,43,1
730,Female,25,66,55
731,Female,24,51,84
732,Male,33,27,67
733,Male,53,61,63
734,Male,56,89,17
735,Male,32,88,21
736,Male,46,55,81
737,Female,34,58,6
738,Female,42,23,77
739,Male,67,134,81
740,Female,40,67,34
741,Male,64,95,55
742,Female,24,58,70
743,Female,41,48,80
744,Female,45,129,62
745,Male,53,56,91
746,Male,66,100,96
747,Female,62,31,93
748,Female,38,89,50
749,Female,27,121,3
750,Male,64,66,2
751,Male,50,34,14
752,Male,56,92,91
753,Male,56,19,55
754,Female,22,111,32
755,Female,19,58,46
756,Female,30,126,71
757,Female,22,128,57
758,Female,56,74,64
759,Female,59,124,86
760,Female,45,109,65
761,Male,30,43,95
762,Male,41,55,93
763,Female,50,106,70
764,Male,42,135,71
765,Male,44,85,85
766,Male,20,113,46
767,Male,24,51,25
768,Male,40,73,36
769,Male,25,46,31
770,Female,59,41,19
771,Female,19,106,71
772,Male,65,17,37
773,Male,70,15,31
774,Male,27,83,73
775,Female,69,53,60
776,Male,52,43,34
777,Female,18,83,46
778,Male,62,58,26
779,Female,37,135,86
780,Female,32,44,3
781,Female,31,94,87
782,Female,62,76,14
783,Female,50,107,17
784,Female,55,66,50
785,Male,29,127,44
786,Female,64,94,1
787,Female,51,111,68
788,Female,30,81,16
789,Male,43,131,53
790,Male,46,42,80
791,Male,45,136,92
792,Female,51,37,38
793,Male,46,82,29
794,Male,60,128,95
795,Male,55,23,88
796,Male,31,74,15
797,Male,56,94,46
798,Female,25,57,32
799,Male,32,72,41
800,Male,43,107,74
801,Male,58,46,19
802,Female,63,51,93
803,Male,24,22,88
804,Male,54,118,48
805,Female,70,53,52
806,Male,18,107,62
807,Female,43,89,14
808,Male,61,37,99
809,Male,28,88,39
810,Female,41,26,47
811,Male,56,65,94
812,Male,54,54,34
813,Male,54,42,55
814,Male,40,91,1
815,Female,55,21,61
816,Female,30,98,14
817,Female,58,80,93
818,Female,43,18,29
819,Female,50,56,52
820,Male,51,37,3
821,Male,42,61,68
822,Female,22,32,92
823,Male,70,98,84
824,Male,57,27,3
825,Female,67,121,17
826,Male,21,119,52
827,Male,62,23,31
828,Female,47,97,50
829,Female,28,108,65
830,Male,31,112,23
831,Female,45,97,69
832,Male,33,108,59
833,Male,59,102,68
834,Male,46,97,32
835,Female,40,136,1
836,Male,69,75,23
837,Male,43,101,53
838,Male,51,106,28
839,Female,31,70,1
840,Male,22,68,5
841,Male,64,49,39
842,Female,67,31,8
843,Male,58,77,67
844,Male,69,64,52
845,Male,66,20,84
846,Female,45,109,91
847,Male,20,135,23
848,Male,42,26,47
849,Female,45,37,10
850,Female,59,25,7
851,Female,43,103,28
852,Female,67,137,73
853,Female,33,35,96
854,Male,37,89,79
855,Female,43,70,17
856,Female,40,18,9
857,Male,68,66,98
858,Female,37,42,38
859,Female,43,62,17
860,Female,57,131,14
861,Female,60,71,52
862,Male,19,130,78
863,Male,63,27,49
864,Female,26,70,14
865,Female,69,58,50
866,Male,37,47,38
867,Female,30,107,37
868,Male,27,132,86
869,Female,21,72,21
870,Male,34,137,90
871,Female,52,23,34
872,Male,27,28,60
873,Female,68,120,65
874,Female,68,53,6
875,Male,60,109,49
876,Male,61,125,74
877,Male,60,81,12
878,Female,48,48,27
879,Female,23,49,30
880,Female,29,35,36
881,Male,21,73,77
882,Male,51,91,7
883,Male,54,68,55
884,Male,33,70,49
885,Female,42,96,49
886,Female,33,125,21
887,Male,30,108,73
888,Female,24,101,43
889,Female,52,58,54
890,Female,60,47,71
891,Female,20,26,90
892,Male,66,95,69
893,Male,69,23,20
894,Female,43,74,24
895,Female,52,137,42
896,Male,68,33,19
897,Male,18,42,82
898,Male,54,46,7
899,Male,60,72,60
900,Male,51,37,64
